TaxonName,Author
Alseodaphne sulcata,Kosterm.
Alseodaphne tomentosa,Kosterm.
Alseodaphne tonkinensis,H.Liu
Alseodaphne utilis,Kosterm.
Alseodaphne wrayi,Gamble
Alseodaphne yunnanensis,Kosterm.
Alseodaphnopsis andersonii,(King ex Hook.f.) H.W.Li & J.Li
Alseodaphnopsis hainanensis,(Merr.) H.W.Li & J.Li
Alseodaphnopsis hokouensis,(H.W.Li) H.W.Li & J.Li
Alseodaphnopsis lanuginosa,(Kosterm.) H.W.Li & J.Li
Alseodaphnopsis marlipoensis,(H.W.Li) H.W.Li & J.Li
Alseodaphnopsis petiolaris,(Meisn.) H.W.Li & J.Li
Alseodaphnopsis rugosa,(Merr. & Chun) H.W.Li & J.Li
Alseodaphnopsis sichourensis,(H.W.Li) H.W.Li & J.Li
Alseodaphnopsis ximengensis,H.W.Li & J.Li
Alsodeiopsis poggei,Engl.
Alsodeiopsis schumannii,(Engl.) Engl.
Alsodeiopsis staudtii,Engl.
Alsodeiopsis zenkeri,Engl.
Alstonia actinophylla,(A.Cunn.) K.Schum.
Alstonia angustifolia,Wall. ex A.DC.
Alstonia angustiloba,Miq.
Alstonia annamensis,(Monach.) Sidiyasa
Alstonia balansae,Guillaumin
Alstonia beatricis,Sidiyasa
Alstonia boonei,De Wild.
Alstonia boulindaensis,Boiteau
Alstonia breviloba,Sidiyasa
Alstonia congensis,Engl.
Alstonia constricta,F.Muell.
Alstonia coriacea,Pancher ex S.Moore
Alstonia costata,(G.Forst.) R.Br.
Alstonia iwahigensis,Elmer
Alstonia lanceolata,Van Heurck & Müll.Arg.
Alstonia lanceolifera,S.Moore
Alstonia legouixiae,Van Heurck & Müll.Arg.
Alstonia lenormandii,Van Heurck & Müll.Arg.
Alstonia longifolia,(A.DC.) Pichon
Alstonia macrophylla,Wall. ex G.Don
Alstonia muelleriana,Domin
Alstonia odontophora,Boiteau
Alstonia parvifolia,Merr.
Alstonia penangiana,Sidiyasa
Alstonia pneumatophora,Backer ex Den Berger
Alstonia quaternata,Van Heurck & Müll.Arg.
Alstonia rostrata,C.E.C.Fisch.
Alstonia rubiginosa,Sidiyasa
Alstonia rupestris,Kerr
Alstonia scholaris,(L.) R.Br.
Alstonia spatulata,Blume
Alstonia spectabilis,R.Br.
Alstonia sphaerocapitata,Boiteau
Alstonia venenata,R.Br.
Alstonia vieillardii,Van Heurck & Müll.Arg.
Alternanthera rugulosa,(B.L.Rob.) J.T.Howell
Alvaradoa amorphoides,Liebm.
Alvaradoa arborescens,Griseb.
Alvaradoa haitiensis,Urb.
Alvaradoa jamaicensis,Benth.
Alvaradoa lewisii,R.A.Howard & Proctor
Alvaradoa subovata,Cronquist
Alyxia ilicifolia,F.Muell.
Alyxia magnifolia,F.M.Bailey
Alzatea verticillata,Ruiz & Pav.
Amaioua brevidentata,Steyerm.
Amaioua contracta,Standl.
Amaioua glomerulata,(Lam. ex Poir.) Delprete & C.H.Perss.
Amaioua guianensis,Aubl.
Amaioua intermedia,Mart. ex Schult. & Schult.f.
Amaioua magnicarpa,Dwyer
Amaioua monteiroi,Standl.
Amaioua pedicellata,Dwyer
Amaioua pilosa,K.Schum.
Amanoa almerindae,Leal
Amanoa anomala,Little
Amanoa bracteosa,Planch.
Amanoa caribaea,Krug & Urb.
Amanoa congesta,W.J.Hayden
Amanoa cupatensis,Huber
Amanoa glaucophylla,Müll.Arg.
Amanoa gracillima,W.J.Hayden
Amanoa guianensis,Aubl.
Amanoa marapiensis,Secco
Amanoa nanayensis,W.J.Hayden
Amanoa neglecta,W.J.Hayden
Amanoa oblongifolia,Müll.Arg.
Amanoa sinuosa,W.J.Hayden
Amanoa steyermarkii,Jabl.
Amanoa strobilacea,Müll.Arg.
Amaracarpus attenuatus,Merr. & L.M.Perry
Amaracarpus belensis,Merr. & L.M.Perry
Amaracarpus brassii,Merr. & L.M.Perry
Amaracarpus compactus,Merr. & L.M.Perry
Amaracarpus grandifolius,Valeton
Amaracarpus nematopodus,(F.Muell.) P.I.Forst.
Amaracarpus xanthocarpus,Merr. & L.M.Perry
Amaroria soulameoides,A.Gray
Ambavia capuronii,(Cavaco & Keraudren) Le Thomas
Ambavia gerrardii,(Baill.) Le Thomas
Ambelania acida,Aubl.
Ambelania duckei,Markgr.
Ambelania occidentalis,Zarucchi
Ambilobea madagascariensis,"(Capuron) Thulin, Beier & Razafim."
Amblygonocarpus andongensis,(Welw. ex Oliv.) Exell & Torre
Amborella trichopoda,Baill.
Ambrosia carduacea,(Greene) W.W.Payne
Amburana acreana,(Ducke) A.C.Sm.
Amburana cearensis,(Allemão) A.C.Sm.
Amburana erythrosperma,"E.P.Seleme, C.H.Stirt. & V.F.Mansano"
Amelanchier alnifolia,(Nutt.) Nutt.
Amelanchier arborea,(F.Michx.) Fernald
Amelanchier asiatica,(Siebold & Zucc.) Endl. ex Walp.
Amelanchier bartramiana,(Tausch) M.Roem.
Amelanchier canadensis,(L.) Medik.
Amelanchier cusickii,Fernald
Amelanchier interior,E.L.Nielsen
Amelanchier laevis,Wiegand
Amelanchier pallida,Greene
Amelanchier sanguinea,(Pursh) DC.
Amelanchier sinica,(C.K.Schneid.) Chun
Amelanchier utahensis,Koehne
Amentotaxus argotaenia,(Hance) Pilg.
Amentotaxus assamica,D.K.Ferguson
Amentotaxus formosana,H.L.Li
Amentotaxus hatuyenensis,T.H.Nguyên
Amentotaxus poilanei,(Ferré & Rouane) D.K.Ferguson
Amentotaxus yunnanensis,H.L.Li
Amesiodendron chinense,(Merr.) Hu
Amherstia nobilis,Wall.
Ammodendron conollyi,Bunge ex Boiss.
Ammopiptanthus kamelinii,Lazkov
Ammopiptanthus nanus,(Popov) S.H.Cheng
Amolinia heydeana,(B.L.Rob.) R.M.King & H.Rob.
Amomyrtella guilii,(Speg.) Kausel
Amomyrtella irregularis,(McVaugh) Landrum & Morocho
Amomyrtus luma,(Molina) D.Legrand & Kausel
Amomyrtus meli,(Phil.) D.Legrand & Kausel
Amoora lactescens,Kurz
Amoora moulmeiniana,C.DC.
Amorphospermum antilogum,F.Muell.
Ampelocera albertiae,Todzia
Ampelocera cubensis,Griseb.
Ampelocera edentula,Kuhlm.
Ampelocera glabra,Kuhlm.
Ampelocera hottlei,(Standl.) Standl.
Ampelocera longissima,Todzia
Ampelocera macphersonii,Todzia
Ampelocera macrocarpa,Ferero & Gentry
Ampelocera pubescens,C.V.Morton
Ampelocera ruizii,Klotzsch
Ampelozizyphus amazonicus,Ducke
Ampelozizyphus kuripacorum,Aymard & Castro-Lima
Amphimas ferrugineus,Pierre ex Pellegr.
Amphimas pterocarpoides,Harms
Amphimas tessmannii,Harms
Amphiodon effusus,Huber
Amphipterygium adstringens,(Schltdl.) Standl.
Amphipterygium glaucum,(Hemsl. & Rose) Hemsl. & Rose ex Standl.
Amphipterygium molle,(Hemsl.) Hemsl. & Rose ex Standl.
Amphipterygium simplicifolium,(Standl.) Cuevas-Figueroa
Amphirrhox longifolia,(A.St.-Hil.) Spreng.
Amphitecna apiculata,A.H.Gentry
Amphitecna breedlovei,A.H.Gentry
Amphitecna costata,A.H.Gentry
Amphitecna donnell-smithii,(Sprague) L.O.Williams
Amphitecna fonceti,Ortiz-Rodr. & Gómez-Domínguez
Amphitecna gentryi,W.C.Burger
Amphitecna isthmica,(A.H.Gentry) A.H.Gentry
Amphitecna kennedyae,(A.H.Gentry) A.H.Gentry
Amphitecna latifolia,(Mill.) A.H.Gentry
Amphitecna loreae,Ortíz-Rodr. & Burelo
Amphitecna lundellii,A.H.Gentry
Amphitecna macrophylla,(Seem.) Miers ex Baill.
Amphitecna megalophylla,(Donn.Sm.) A.H.Gentry
Amphitecna molinae,L.O.Williams
Amphitecna montana,L.O.Williams
Amphitecna regalis,(Linden) A.H.Gentry
Amphitecna sessilifolia,(Donn.Sm.) L.O.Williams
Amphitecna silvicola,L.O.Williams
Amphitecna spathicalyx,(A.H.Gentry) A.H.Gentry
Amphitecna steyermarkii,(A.H.Gentry) A.H.Gentry
Amphitecna tuxtlensis,A.H.Gentry
Amphorogyne celastroides,Stauffer & Hürl.
Amphorogyne spicata,Stauffer & Hürl.
Amphorogyne staufferi,Markgr. ex Stauffer
Amyrea grandifolia,Radcl.-Sm.
Amyrea humbertii,Leandri
Amyrea lancifolia,Radcl.-Sm.
Amyrea remotiflora,Radcl.-Sm.
Amyrea sambiranensis,Leandri
Amyris apiculata,Urb. & Ekman
Amyris attenuata,Standl.
Amyris balsamifera,L.
Amyris brenesii,Standl.
Amyris chiapensis,Lundell
Amyris crebrinervis,Gereau
Amyris diatrypa,Spreng.
Amyris elemifera,L.
Amyris guatemalensis,Lundell
Amyris ignea,Steyerm.
Amyris lineata,C.Wright ex Griseb.
Amyris macrocarpa,Gereau
Amyris magnifolia,Gómez-Laur. & Q.Jiménez
Amyris oblanceolata,A.Pool
Amyris pinnata,Kunth
Amyris plumieri,DC.
Amyris polymorpha,Urb.
Amyris purpusii,P.Wilson
Amyris rekoi,S.F.Blake
Amyris rhomboidea,Standl.
Amyris thyrsiflora,Turcz.
Amyris vestita,Lundell
Amyxa pluricornis,(Radlk.) Domke
Anacardium amapaense,J.D.Mitch.
Anacardium caracolii,Mutis ex Alba
Anacardium excelsum,(Bertero ex Kunth) Skeels
Anacardium fruticosum,J.Mitch. & S.A.Mori
Anacardium giganteum,Hancock ex Engl.
Anacardium humile,A.St.-Hil.
Anacardium microsepalum,Loes.
Anacardium negrense,Pires & Fróes
Anacardium occidentale,L.
Anacardium parvifolium,Ducke
Anacardium spruceanum,Benth. ex Engl.
Anacolosa casearioides,Cavaco & Keraudren
Anacolosa cauliflora,Sleumer
Anacolosa clarkii,Pierre
Anacolosa crassipes,(Kurz) Kurz
Anacolosa densiflora,Bedd.
Anacolosa frutescens,(Blume) Blume
Anacolosa glochidiiformis,Kaneh. & Hatus.
Anacolosa griffithii,Mast.
Anacolosa ilicoides,Mast.
Anacolosa insularis,Christoph.
Anacolosa lutea,Gillespie
Anacolosa papuana,Schellenb.
Anacolosa pervilleana,Baill.
Anacolosa poilanei,Gagnep.
Anadenanthera colubrina,(Vell.) Brenan
Anadenanthera peregrina,(L.) Speg.
Anagyris foetida,L.
Anakasia simplicifolia,Philipson
Anastrabe integerrima,E.Mey. ex Benth.
Anastraphia buchii,Urb.
Anastraphia picardae,Urb.
Anaxagorea acuminata,(Dunal) A.St.-Hil. ex A.DC.
Anaxagorea allenii,R.E.Fr.
Anaxagorea angustifolia,Timmerman
Anaxagorea borneensis,(Becc.) J.Sinclair
Anaxagorea brachycarpa,R.E.Fr.
Anaxagorea brevipedicellata,Timmerman
Anaxagorea brevipes,Benth.
Anaxagorea crassipetala,Hemsl.
Anaxagorea dolichocarpa,Sprague & Sandwith
Anaxagorea floribunda,Timmerman
Anaxagorea gigantophylla,R.E.Fr.
Anaxagorea guatemalensis,Standl.
Anaxagorea javanica,Blume
Anaxagorea luzonensis,A.Gray
Anaxagorea macrantha,R.E.Fr.
Anaxagorea manausensis,Timmerman
Anaxagorea pachypetala,(Diels) R.E.Fr.
Anaxagorea petiolata,R.E.Fr.
Anaxagorea phaeocarpa,Mart.
Anaxagorea prinoides,(Dunal) A.St.-Hil.
Anaxagorea rufa,Timmerman
Anaxagorea silvatica,R.E.Fr.
Ancistrocarpus bequaertii,De Wild.
Ancistrocarpus densispinosus,Oliv.
Ancylobothrys pyriformis,Pierre
Andeimalva machupicchensis,(Krapov.) J.A.Tate
Andinocleome magnifica,(Briq.) Iltis & Cochrane
Andira anthelmia,(Vell.) J.F.Macbr.
Andira carvalhoi,R.T.Penn. & H.C.Lima
Andira chigorodensis,R.T.Penn.
Andira cordata,Arroyo ex R.T.Penn. & H.C.Lima
Andira coriacea,Pulle
Andira cubensis,Benth.
Andira cujabensis,Benth.
Andira fraxinifolia,Benth.
Andira galeottiana,Standl.
Andira grandistipula,Amshoff
Andira humilis,Mart. ex Benth.
Andira inermis,(W.Wright) DC.
Andira jaliscensis,R.T. Penn.
Andira legalis,(Vell.) Toledo
Andira macrocarpa,R.T.Penn.
Andira macrothyrsa,Ducke
Andira marauensis,Mattos
Andira micrantha,Ducke
Andira multistipula,Ducke
Andira nitida,Mart. ex Benth.
Andira ormosioides,Benth.
Andira parviflora,Ducke
Andira praecox,Arroyo ex R.T.Penn.
Andira surinamensis,(Bondt) Splitg. ex Pulle
Andira taurotesticulata,R.T.Penn.
Andira tervequinata,"R.T.Penn., Aymard & Cuello"
Andira trifoliolata,Ducke
Andira unifoliolata,Ducke
Andira vermifuga,(Mart.) Benth.
Andradea floribunda,Allemão
Andreadoxa flava,Kallunki
Androcalva fraseri,(J.Gay) C.F.Wilkins & Whitlock
Androcalva perkinsiana,(Guymer) C.F.Wilkins & Whitlock
Androcalva rossii,(Guymer) C.F.Wilkins & Whitlock
Androcalymma glabrifolium,Dwyer
Androsiphonia adenostegia,Stapf
Androstachys johnsonii,Prain
Androtium astylum,Stapf
Androya decaryi,H.Perrier
Aneulophus africanus,Benth.
Angelesia fusicarpa,(Kosterm.) Sothers & Prance
Angelesia splendens,Korth.
Angophora bakeri,E.C.Hall
Angophora costata,(Gaertn.) Hochr. ex Britten
Angophora floribunda,(Sm.) Sweet
Angophora hispida,(Sm.) Blaxell
Angophora inopina,K.D.Hill
Angophora leiocarpa,(L.A.S.Johnson ex G.J.Leach) K.R.Thiele & Ladiges
Angophora melanoxylon,F.Muell. ex R.T.Baker
Angophora robur,L.A.S.Johnson & K.D.Hill
Angophora subvelutina,F.Muell.
Angophora woodsiana,F.M.Bailey
Angostura alipes,Kallunki
Angostura bracteata,(Nees & Mart.) Kallunki
Angostura granulosa,(Kallunki) Kallunki
Angostura longiflora,(K.Krause) Kallunki
Angostura ossana,(DC.) Beurton
Angostura quinquefolia,Kallunki
Angostura simplex,Kallunki
Angostura trifoliata,(Willd.) T.S.Elias
Angostylis longifolia,Benth.
Angostylis tabulamontana,Croizat
Angylocalyx boutiqueanus,L.Touss.
Angylocalyx braunii,Harms
Angylocalyx oligophyllus,(Baker) Baker f.
Angylocalyx pynaertii,De Wild.
Angylocalyx talbotii,Baker f. ex Hutch. & Dalziel
Aniba affinis,(Meisn.) Mez
Aniba bracteata,(Nees) Mez
Aniba burchellii,Kosterm.
Aniba canelilla,(Kunth) Mez
Aniba cinnamomiflora,C.K.Allen
Aniba citrifolia,(Nees) Mez
Aniba coto,(Rusby) Kosterm.
Aniba cylindriflora,Kosterm.
Aniba desertorum,(Nees) Mez
Aniba excelsa,Kosterm.
Aniba ferrea,Kubitzki
Aniba ferruginea,Kubitzki
Aniba firmula,(Nees & Mart.) Mez
Aniba guianensis,Aubl.
Aniba heringeri,Vattimo
Aniba heterotepala,van der Werff
Aniba hostmanniana,(Nees) Mez
Aniba hypoglauca,Sandwith
Aniba intermedia,(Meisn.) Mez
Aniba jenmanii,Mez
Aniba kappleri,Mez
Aniba lancifolia,Kubitzki & W.A.Rodrigues
Aniba megaphylla,Mez
Aniba muca,(Ruiz & Pav.) Mez
Aniba novogranatensis,Kubitzki
Aniba panurensis,(Meisn.) Mez
Aniba parviflora,(Meisn.) Mez
Aniba pedicellata,Kosterm.
Aniba percoriacea,C.K.Allen
Aniba permollis,(Nees) Mez
Aniba perutilis,Hemsl.
Aniba pilosa,van der Werff
Aniba puchury-minor,(Mart.) Mez
Aniba ramageana,Mez
Aniba riparia,(Nees) Mez
Aniba robusta,(Klotzsch & H.Karst. ex Meisn.) Mez
Aniba rosodora,Ducke
Aniba santalodora,Ducke
Aniba sulcata,Benoist
Aniba taubertiana,Mez
Aniba terminalis,Ducke
Aniba vaupesiana,Kubitzki
Aniba venezuelana,Mez
Aniba viridis,Mez
Aniba vulcanicola,van der Werff
Aniba williamsii,O.C.Schmidt
Anisocapparis speciosa,(Griseb.) Cornejo & Iltis
Anisophyllea apetala,Scort. ex King
Anisophyllea bakoensis,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea beccariana,Baill.
Anisophyllea biokoensis,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea boehmii,Engl.
Anisophyllea borneensis,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea cabole,Henriq.
Anisophyllea chartacea,Madani
Anisophyllea cinnamomoides,(Gardner & Champ.) Alston
Anisophyllea corneri,Ding Hou
Anisophyllea cuneata,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea curtisii,King
Anisophyllea dinghoui,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea disticha,(Jack) Baill.
Anisophyllea fallax,Scott Elliot
Anisophyllea ferruginea,Ding Hou
Anisophyllea glandibeccariana,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea glandulipetiolata,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea globosa,Madani
Anisophyllea grandis,Benth.
Anisophyllea griffithii,Oliv.
Anisophyllea guianensis,Sandwith
Anisophyllea impressinervia,Madani
Anisophyllea insularis,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea ismailii,J.A.McDonald
Anisophyllea laurina,R.Br. ex Sabine
Anisophyllea madagascarensis,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea manausensis,Pires & W.A.Rodrigues
Anisophyllea masoalensis,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea meniaudii,Aubrév. & Pellegr.
Anisophyllea myriosticta,Floret
Anisophyllea myriostictoides,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea neopurpurascens,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea nitida,Madani
Anisophyllea obanica,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea obtusifolia,Engl. & Brehmer
Anisophyllea parafallax,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea penninervata,J.E.Vidal
Anisophyllea polyneura,Floret
Anisophyllea pomifera,Engl. & Brehmer
Anisophyllea purpurascens,Hutch. & Dalziel
Anisophyllea rengamensis,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea reticulata,Kochummen
Anisophyllea rhomboidea,Baill.
Anisophyllea rubroglandula,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea sabahensis,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea sarawakensis,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea schatzii,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea scortechinii,King
Anisophyllea sessiliflora,"Li Bing Zhang, Xin Chen & H.He"
Anisophyllea sororia,Pierre
Anisophyllea sumatrana,"Li Bing Zhang, Xin Chen & H.He"
Anisoptera aurea,Foxw.
Anisoptera costata,Korth.
Anisoptera curtisii,Dyer ex King
Anisoptera grossivenia,V.Sloot.
Anisoptera laevis,Ridl.
Anisoptera marginata,Korth.
Anisoptera megistocarpa,Slooten
Anisoptera reticulata,P.S.Ashton
Anisoptera scaphula,(Roxb.) Kurz
Anisoptera thurifera,(Blanco) Blume
Anisotes guineensis,Lindau
Anisotes ukambensis,Lindau
Annea afzelii,(Oliv.) Mackinder & Wieringa
Annea laxiflora,(Benth.) Mackinder & Wieringa
Annesijoa novoguineensis,Pax & K.Hoffm.
Anneslea donnaiensis,(Gagnep.) Kobuski
Anneslea fragrans,Wall.
Anneslea paradoxa,H.H.Nguyen & Yakovlev
Anneslea steenisii,Kobuski
Annickia affinis,(Exell) Versteegh & Sosef
Annickia ambigua,(Robyns & Ghesq.) Setten & Maas
Annickia chlorantha,(Oliv.) Setten & Maas
Annickia kummeriae,(Engl. & Diels) Setten & Maas
Annickia lebrunii,(Robyns & Ghesq.) Setten & Maas
Annickia letestui,(Le Thomas) Setten & Maas
Annickia pilosa,(Exell) Setten & Maas
Annickia polycarpa,(DC.) Setten & Maas ex I.M.Turner
Annona acuminata,Saff.
Annona acutiflora,Mart.
Annona amazonica,R.E.Fr.
Annona ambotay,Aubl.
Annona andicola,(Maas & Westra) H.Rainer
Annona angustifolia,Huber
Annona annonoides,(R.E.Fr.) Maas & Westra
Annona asplundiana,R.E.Fr.
Annona atabapensis,Kunth
Annona aurantiaca,Barb.Rodr.
Annona bahiensis,(Maas & Westra) H.Rainer
Annona bicolor,Urb.
Annona billbergii,R.E.Fr.
Annona boliviana,(R.E.Fr.) H.Rainer
Annona bullata,A.Rich.
Annona burchellii,R.E.Fr.
Annona cacans,Warm.
Annona caesia,"G. E. Schatz, C. Ramos & O. Ortiz"
Annona calcarata,(R.E.Fr. ) H.Rainer
Annona caput-medusae,Westra & H.Rainer
Annona centrantha,(R.E.Fr.) H.Rainer
Annona cercocarpa,Saff.
Annona cherimola,Mill.
Annona cherimolioides,Triana & Planch.
Annona conica,Ruiz & Pav.
Annona cordifolia,(Szyszyl.) Poepp. ex Maas & Westra
Annona coriacea,Mart.
Annona cornifolia,A.St.-Hil.
Annona crassiflora,Mart.
Annona crassivenia,Saff.
Annona cristalensis,(Alain) Borhidi & Moncada
Annona cubensis,R.E.Fr.
Annona cuspidata,(Mart.) H.Rainer
Annona danforthii,(Standl.) H.Rainer
Annona deceptrix,(Westra) H.Rainer
Annona deminuta,R.E.Fr.
Annona densicoma,Mart.
Annona dioica,A.St.-Hil.
Annona dolabripetala,Raddi
Annona dolichopetala,(R.E.Fr.) H.Rainer
Annona dolichophylla,R.E.Fr.
Annona domingensis,R.E.Fr.
Annona duckei,Diels
Annona dumetorum,R.E.Fr.
Annona echinata,Dunal
Annona ecuadorensis,R.E.Fr.
Annona edulis,(Triana & Planch.) H.Rainer
Annona ekmanii,R.E.Fr.
Annona elliptica,R.E.Fr.
Annona emarginata,(Schltdl.) H.Rainer
Annona excellens,R.E.Fr.
Annona exsucca,DC.
Annona fendleri,(R.E.Fr.) H.Rainer
Annona ferruginea,(R.E.Fr.) H.Rainer
Annona foetida,Mart.
Annona fosteri,(Maas & Westra) H.Rainer
Annona gardneri,R.E.Fr.
Annona gigantophylla,(R.E.Fr.) R.E.Fr.
Annona glabra,L.
Annona glomerulifera,(Maas & Westra) H.Rainer
Annona haematantha,Miq.
Annona havanensis,R.E.Fr.
Annona hayesii,Saff.
Annona helosioides,(Maas & Westra) H.Rainer
Annona herzogii,(R.E.Fr.) H.Rainer
Annona hispida,(Maas & Westra) H.Rainer
Annona holosericea,Saff.
Annona hypoglauca,Mart.
Annona imparilis,H.Rainer
Annona inconformis,Pittier
Annona insignis,R.E.Fr.
Annona ionophylla,Triana & Planch.
Annona iquitensis,R.E.Fr.
Annona jahnii,Saff.
Annona jamaicensis,Sprague
Annona jucunda,(Diels) H.Rainer
Annona leptopetala,(R.E.Fr.) H.Rainer
Annona liebmanniana,Baill.
Annona longipes,Saff.
Annona macrocalyx,R.E.Fr.
Annona macroprophyllata,Donn.Sm.
Annona mammifera,(Maas & Westra) H.Rainer
Annona manabiensis,Saff. ex R.E.Fr.
Annona maritima,(Záchia) H.Rainer
Annona micrantha,Bertero ex Spreng.
Annona moaensis,León & Alain
Annona montana,Macfad.
Annona monticola,Mart.
Annona mucosa,Jacq.
Annona muricata,L.
Annona neglecta,R.E.Fr.
Annona neoamazonica,H.Rainer
Annona neochrysocarpa,H.Rainer
Annona neoecuadoarensis,H.Rainer
Annona neoelliptica,H.Rainer & Maas
Annona neoinsignis,H.Rainer
Annona neosalicifolia,H.Rainer
Annona neosericea,H.Rainer
Annona neoulei,H.Rainer
Annona neovelutina,H.Rainer
Annona nipensis,Alain
Annona nitida,Mart.
Annona nutans,(R.E.Fr.) R.E.Fr.
Annona oblongifolia,R.E.Fr.
Annona oleifolia,Westra & H.Rainer
Annona oligocarpa,R.E.Fr.
Annona oxapampae,Maas & Westra
Annona pachyantha,(Maas & Westra) H.Rainer
Annona palmeri,Saff.
Annona paludosa,Aubl.
Annona papilionella,(Diels) H.Rainer
Annona paraensis,R.E.Fr.
Annona parviflora,Ruiz & Pav.
Annona pavonii,G.Don
Annona penicillata,H.Rainer
Annona pickelii,(Diels) H.Rainer
Annona pittieri,Donn.Sm.
Annona poeppigii,(Mart.) Maas & Westra
Annona praetermissa,Rendle
Annona prevostiae,H.Rainer
Annona pruinosa,Schatz
Annona punicifolia,Triana & Planch.
Annona purpurea,Moc. & Sessé ex Dunal
Annona quinduensis,Kunth
Annona rensoniana,(Standl.) H.Rainer
Annona reticulata,L.
Annona rigida,R.E.Fr.
Annona rosei,Saff.
Annona rufinervis,(Triana & Planch.) H.Rainer
Annona rugulosa,(Schltdl.) H.Rainer
Annona salicifolia,Ekman & R.E.Fr.
Annona salzmannii,A.DC.
Annona scandens,Diels ex Pilg.
Annona schunkei,(Maas & Westra) H.Rainer
Annona sclerophylla,Saff.
Annona senegalensis,Pers.
Annona sericea,Dunal
Annona spinescens,Mart.
Annona spraguei,Saff.
Annona squamosa,L.
Annona sylvatica,A.St.-Hil.
Annona symphyocarpa,Sandwith
Annona tenuiflora,Mart.
Annona tomentosa,R.E.Fr.
Annona ubatubensis,(Maas & Westra) H.Rainer
Annona urbaniana,R.E.Fr.
Annona vepretorum,Mart.
Annona williamsii,(Rusby ex R.E.Fr.) H.Rainer
Annona xylopiifolia,A.St.-Hil. & Tul.
Anodopetalum biglandulosum,A.Cunn. ex Hook.f.
Anogeissus acuminata,(Roxb. ex DC.) Wall. ex Guillem. & Perr.
Anogeissus bentii,Baker
Anogeissus dhofarica,A.J.Scott
Anogeissus latifolia,(Roxb. ex DC.) Wall. ex Guillem. & Perr.
Anogeissus leiocarpa,(DC.) Guill. & Perr.
Anogeissus pendula,Edgew.
Anogeissus phillyreifolia,Van Heurck & Müll.Arg.
Anogeissus rivularis,(Gagnep.) O.Lecompte
Anogeissus sericea,Brandis
Anomalocalyx uleanus,(Pax & K.Hoffm.) Ducke
Anomospermum grandifolium,Eichler
Anomostachys lastellei,(Müll.Arg.) Kruijt
Anonidium brieyi,De Wild.
Anonidium floribundum,Pellegr.
Anonidium letestui,Pellegr.
Anonidium mannii,(Oliv.) Engl. & Diels
Anonidium usambarense,R.E.Fr.
Anopyxis klaineana,(Pierre) Engl.
Anteremanthus hatschbachii,H.Rob.
Anteremanthus piranii,Roque & F.A.Santana
Antheroporum harmandii,Gagnep.
Antheroporum pierrei,Gagnep.
Antherostele banahaensis,(Elmer) Bremek.
Antherostele callophylla,Bremek.
Antherostele grandistipula,(Merr.) Bremek.
Anthocarapa nitidula,(Benth.) T.D.Penn. ex Mabb.
Anthocleista amplexicaulis,Baker
Anthocleista djalonensis,A.Chev.
Anthocleista grandiflora,Gilg
Anthocleista inermis,Engl.
Anthocleista liebrechtsiana,De Wild. & T.Durand
Anthocleista longifolia,(Lam.) Boiteau
Anthocleista madagascariensis,Baker
Anthocleista microphylla,Wernham
Anthocleista nobilis,G.Don
Anthocleista obanensis,Wernham
Anthocleista procera,Lepr. ex Bureau
Anthocleista scandens,Hook.f.
Anthocleista schweinfurthii,Gilg
Anthocleista vogelii,Planch.
Anthodiscus amazonicus,Gleason & A.C.Sm.
Anthodiscus chocoensis,Prance
Anthodiscus fragrans,Sleumer
Anthodiscus klugii,Standl. ex Prance
Anthodiscus mazarunensis,Gilly
Anthodiscus montanus,Gleason
Anthodiscus obovatus,Benth. ex Wittm.
Anthodiscus peruanus,Baill.
Anthodiscus pilosus,Ducke
Anthodiscus trifoliatus,G.Mey.
Anthodon decussatum,Ruiz & Pav.
Anthonotha acuminata,(De Wild.) J.Léonard
Anthonotha brieyi,(De Wild.) J.Léonard
Anthonotha cladantha,(Harms) J.Léonard
Anthonotha crassifolia,(Baill.) J.Léonard
Anthonotha ferruginea,(Harms) J.Léonard
Anthonotha fragrans,(Baker f.) Exell & Hillc.
Anthonotha gilletii,(De Wild.) J.Léonard
Anthonotha lamprophylla,(Harms) J.Léonard
Anthonotha leptorrhachis,(Harms) J.Léonard
Anthonotha macrophylla,P.Beauv.
Anthonotha mouandzae,Breteler
